player,seasons,batting_runs,batting_average,strike_rate,runs_per_match,bowling_wickets,economy,wickets_per_match,cluster_id,cluster_name
CJ Anderson,4,538.0,24.454545454545453,123.39449541284404,18.551724137931036,14.0,10.0,0.6363636363636364,2,Finishers / All-Rounders
CJ Dala,1,0.0,0.0,0.0,0.0,0.0,10.736842105263158,0.0,0,Finishers / All-Rounders
CJ Ferguson,2,98.0,16.333333333333332,82.3529411764706,12.25,0.0,0.0,0.0,2,Finishers / All-Rounders
CJ Green,1,0.0,0.0,0.0,0.0,0.0,8.470588235294118,0.0,0,Finishers / All-Rounders
CJ Jordan,6,81.0,9.0,100.0,6.75,36.0,9.297071129707113,1.0588235294117647,3,Finishers / All-Rounders
CJ McKay,1,8.0,8.0,53.333333333333336,8.0,1.0,8.571428571428571,0.5,0,Finishers / All-Rounders
CK Kapugedera,1,16.0,5.333333333333333,66.66666666666667,5.333333333333333,0.0,17.294117647058822,0.0,0,Finishers / All-Rounders
CK Langeveldt,3,8.0,4.0,88.88888888888889,4.0,13.0,7.236363636363636,1.8571428571428572,0,Finishers / All-Rounders
CL White,5,971.0,27.742857142857144,125.45219638242894,21.57777777777778,1.0,11.217391304347826,0.16666666666666666,2,Finishers / All-Rounders
CM Gautam,3,169.0,18.77777777777778,106.9620253164557,13.0,0.0,0.0,0.0,2,Finishers / All-Rounders
CR Brathwaite,4,181.0,12.928571428571429,150.83333333333334,12.928571428571429,16.0,8.661654135338345,1.0,2,Finishers / All-Rounders
CR Woakes,3,78.0,15.6,101.2987012987013,6.5,31.0,8.734341252699783,1.4761904761904763,0,Finishers / All-Rounders
CRD Fernando,2,4.0,4.0,133.33333333333334,2.0,19.0,7.373493975903615,1.9,0,Finishers / All-Rounders
CV Varun,5,25.0,12.5,51.02040816326531,2.5,85.0,7.544334975369457,1.2142857142857142,3,Finishers / All-Rounders
D Brevis,2,230.0,23.0,130.6818181818182,23.0,1.0,16.0,1.0,2,Finishers / All-Rounders
D Ferreira,1,8.0,4.0,72.72727272727273,4.0,0.0,0.0,0.0,2,Finishers / All-Rounders
D Jansen,1,0.0,0.0,0.0,0.0,1.0,11.357142857142856,1.0,0,Finishers / All-Rounders
D Kalyankrishna,1,3.0,3.0,37.5,3.0,2.0,10.559999999999999,0.6666666666666666,0,Finishers / All-Rounders
D Padikkal,4,1559.0,24.746031746031747,117.83824640967498,24.359375,0.0,0.0,0.0,2,Finishers / All-Rounders
D Pretorius,2,44.0,11.0,157.14285714285714,8.8,7.0,8.74698795180723,1.0,2,Finishers / All-Rounders
D Salunkhe,1,33.0,33.0,137.5,11.0,1.0,9.411764705882353,0.2,2,Finishers / All-Rounders
D Wiese,3,148.0,24.666666666666668,140.95238095238096,13.454545454545455,17.0,8.736156351791532,1.1333333333333333,2,Finishers / All-Rounders
D du Preez,1,10.0,10.0,76.92307692307692,10.0,4.0,7.813953488372093,2.0,0,Finishers / All-Rounders
DA Miller,12,2924.0,34.80952380952381,134.68447719944726,23.772357723577237,0.0,0.0,0.0,1,Power Hitters
DA Warner,14,6567.0,40.042682926829265,135.4299855640338,35.69021739130435,0.0,6.0,0.0,1,Power Hitters
